iter	RMSE
349	614349.8186
350	613963.6714
351	613141.7102
352	612449.2314
353	611284.9528
354	610334.6235
355	609399.0671
356	608844.448
357	608260.9143
358	607439.1772
359	606661.1492
360	605769.4197
361	605234.1382
362	604571.9803
363	603926.0055
364	603446.0167
365	602455.5275
366	601468.4385
367	600444.1727
368	599636.8267
369	599101.6712
370	598410.3387
371	597784.9868
372	597068.1194
373	596477.5664
374	596035.4564
375	595229.2915
376	594374.1428
377	593948.9366
378	593636.9544
379	592915.8714
380	592295.043
381	591428.7294
382	590922.9214
383	590054.7855
384	589375.4221
385	588871.0168
386	588306.4524
387	587326.0996
388	586330.2766
389	585915.8505
390	585019.6604
391	584322.8557
392	583922.7352
393	583345.1843
394	582733.2096
395	581961.8229
396	581458.4777
397	580946.0546
398	580028.4106
399	579485.5669
400	578728.512
401	578095.5024
402	577491.1346
403	576821.9609
404	575965.2372
405	575566.2085
406	574837.0546
407	574661.1732
408	573935.0985
409	573112.4594
410	572182.8719
411	571620.7499
412	570933.6184
413	570185.311
414	569742.3896
415	569110.6962
416	568579.4337
417	567827.2412
418	567331.6111
419	566619.5079
420	565841.2362
421	565258.1676
422	564777.0667
423	564283.2677
424	563396.0318
425	562810.7237
426	562005.3215
427	561502.2351
428	561140.3848
429	560759.5356
430	560119.6466
431	559710.4737
432	559103.4605
433	558514.9755
434	557719.6427
435	557148.9062
436	556451.3101
437	555960.678
438	555316.6358
439	554628.5445
440	553951.8755
441	553510.5626
442	552915.0515
443	552233.6211
444	551628.7298
445	551092.3242
446	550600.7347
447	550109.5857
448	549482.338
449	549039.027
450	548593.0606
451	547861.3221
452	547301.2758
453	547096.383
454	546368.9356
455	545830.8059
456	545372.1093
457	545117.801
458	544369.7224
459	543954.189
460	543466.5121
461	542900.1948
462	542187.7577
463	541670.2315
464	541258.101
465	540952.7221
466	540236.7509
467	539670.6551
468	539191.9454
469	538292.8793
470	537621.7154
471	537155.7434
472	536702.1718
473	536315.6817
474	535826.3661
475	535397.5631
476	535109.2786
477	534500.9158
478	533962.4647
479	533301.2555
480	532747.5917
481	532254.3536
482	531746.4716
483	531334.9906
484	530646.1085
485	530188.4585
486	529883.0923
487	529213.0018
488	528912.0875
489	528458.9442
490	527934.9731
491	527429.4097
492	527003.1482
493	526398.3171
494	525900.2938
495	525378.0093
496	524720.5376
497	524229.4515
498	523521.4199
499	523038.7682
500	522637.4763
501	522013.1787
502	521505.5467
503	520970.9681
504	520454.0748
505	520098.0472
506	519666.3992
507	519354.2551
508	518853.6505
509	518238.3007
510	517842.203
511	517323.4388
512	516941.0209
513	516522.5216
514	516062.1914
515	515407.8468
516	514710.6205
517	514100.1783
518	513447.7505
519	512882.3779
520	512171.352
521	511838.6478
522	511602.4434
523	511146.0934
524	510707.7261
525	510285.0028
526	509669.8833
527	509020.5341
528	508670.7421
529	508125.6738
530	507590.7131
531	507158.3213
532	506550.0925
533	505885.9598
534	505432.3068
535	504992.0916
536	504549.9273
537	504195.6565
538	503589.4238
539	503111.752
540	502839.9434
541	502187.9393
542	501652.7796
543	501045.2151
544	500659.1646
545	499960.8796
546	499310.9929
547	498948.4087
548	498599.1161
549	498071.0781
550	497430.6653
551	497022.0072
552	496408.7746
553	495825.0875
554	495333.5942
555	494701.2771
556	494314.7081
557	493961.3031
558	493491.0453
559	492958.667
560	492439.3542
561	491906.1504
562	491509.5595
563	490978.9439
564	490544.3452
565	489846.4539
566	489476.6486
567	489089.7018
568	488612.4378
569	488029.034
570	487472.2633
571	486924.1315
572	486487.759
573	485911.1135
574	485324.5174
575	484541.0377
576	484067.8497
577	483680.0291
578	483265.7011
579	482740.3916
580	482193.3216
581	481735.2617
582	481162.9089
583	480733.1541
584	480269.7654
585	479729.8861
586	479135.1875
587	478631.3356
588	478200.9879
589	477537.591
590	477052.8012
591	476771.4082
592	476183.3867
593	475802.5507
594	475328.667
595	475117.8989
596	474348.1827
597	473939.2143
598	473634.9097
599	473003.4044
600	472579.4766
601	472182.7407
602	471874.9992
603	471479.8548
604	471200.3727
605	470877.2239
606	470531.0287
607	470038.5317
608	469479.0002
609	469069.5669
610	468597.8043
611	468346.8989
612	467853.2625
613	467394.224
614	466731.8378
615	466349.4609
616	466084.1562
617	465619.2407
618	465242.1149
619	464782.8759
620	464296.9181
621	463772.396
622	463298.7108
623	462865.4384
624	462498.2903
625	462190.9339
626	461665.9632
627	461267.3103
628	460899.8251
629	460314.4465
630	459981.3644
631	459297.4342
632	458817.0684
633	458397.8964
634	457938.6389
635	457422.2011
636	456891.2147
637	456271.3057
638	455965.4113
639	455474.7815
640	455203.9614
641	454741.2412
642	454477.7883
643	454059.1368
644	453427.8937
645	453016.2676
646	452728.0033
647	452263.0034
648	451937.0917
649	451515.6396
650	451216.2243
651	450764.2641
652	450220.2924
653	449743.4337
654	449328.8024
655	448881.875
656	448412.8701
657	448132.5892
658	447563.9726
659	447233.8055
660	446787.6105
661	446296.302
662	445871.3495
663	445338.7554
664	444722.0163
665	444382.9008
666	443994.8585
667	443440.1854
668	443057.8449
669	442780.1901
670	442341.4016
671	441742.6956
672	441208.0242
673	441044.3467
674	440719.9209
675	440293.7701
676	439653.2603
677	439240.6341
678	438604.833
679	438308.0297
680	437898.6981
681	437486.3226
682	437030.9332
683	436604.1115
684	436171.463
685	435873.8007
686	435373.3358
687	435115.7646
688	434769.6139
689	434459.8608
690	433966.4911
691	433687.8804
692	433195.1252
693	432966.1564
694	432667.3588
695	432414.0193
696	432023.3496
697	431518.1164
698	430946.1605
699	430560.7616
700	430234.0119
701	429943.6836
702	429470.4615
703	429113.692
704	428820.47
705	428441.4811
706	428080.1473
707	427570.2479
708	427245.1899
709	426672.2991
710	426254.7376
711	425886.4211
712	425505.3026
713	425177.9645
714	424734.707
715	424261.8383
716	423943.05
717	423414.6903
718	423195.1059
719	422836.9527
720	422432.6964
721	421951.2294
722	421580.9688
723	421243.1245
724	420885.6086
725	420565.9533
726	420216.2781
727	419755.1336
728	419281.6941
729	418698.4577
730	418242.336
731	417765.2792
732	417468.6721
733	417045.1548
734	416854.334
735	416453.0364
736	415924.2159
737	415548.5231
738	415143.503
739	414784.7104
740	414400.4362
741	413948.5106
742	413536.1289
743	413078.4532
744	412832.0128
745	412613.6569
746	412429.7708
747	411954.7328
748	411693.9519
749	411430.802
750	411101.9528
751	410636.208
752	410329.6274
753	409960.927
754	409447.268
755	409186.1863
756	408927.5773
757	408542.3934
758	408003.5959
759	407810.7837
760	407269.5151
761	406741.3592
762	406461.2766
763	406294.028
764	405835.2674
765	405593.2923
766	405301.0389
767	404838.9213
768	404498.0077
769	404281.3016
770	403699.7412
771	403253.3173
772	402687.0259
773	402457.0932
774	402022.8687
775	401675.9896
776	401382.271
777	401271.1333
778	401028.2919
779	400789.0378
780	400342.9281
781	399940.8065
782	399462.5482
783	399070.7001
784	398724.2071
785	398229.947
786	397663.7888
787	397247.3102
788	397032.3009
789	396572.1571
790	395978.2946
791	395464.9644
792	395211.8641
793	395039.7019
794	394555.3705
795	394127.6888
796	393838.9459
797	393650.5329
798	393291.467
799	393039.7087
800	392653.4361
801	392381.0302
802	392001.4098
803	391609.9394
804	391338.5076
805	391118.9143
806	390881.047
807	390405.6476
808	389955.7047
809	389433.1107
810	389079.3205
811	388764.9115
812	388421.3796
813	388021.1066
814	387587.2851
815	387334.2556
816	387057.9087
817	386815.8607
818	386596.8784
819	386213.418
820	385704.9323
821	385250.6686
822	384984.082
823	384701.2075
824	384370.5851
825	383905.4041
826	383333.7888
827	383137.7901
828	382611.399
829	382285.2956
830	382044.5405
831	381752.56
832	381329.7468
833	381076.9713
834	380815.5462
835	380512.9608
836	380140.0222
837	379777.2308
838	379484.6745
839	379008.6744
840	378638.1795
841	378249.6089
842	378009.6237
843	377644.6939
844	377203.448
845	376835.9899
846	376450.8611
847	376215.0659
848	376049.3632
849	375675.2167
850	375442.2349
851	375113.2222
852	374785.3096
853	374477.9002
854	374227.685
855	373925.2871
856	373547.1086
857	373268.6577
858	372875.3982
859	372393.5583
860	372074.4904
861	371659.5701
862	371300.3553
863	370963.6535
864	370546.9123
865	370060.218
866	369690.6735
867	369399.4569
868	369114.3408
869	368705.023
870	368149.9913
871	367720.907
872	367413.0232
873	367217.8564
874	366956.1878
875	366711.2817
876	366488.1951
877	366193.0477
878	365848.3331
879	365561.6877
880	365154.3888
881	364825.5246
882	364478.3516
883	364183.0486
884	363792.7479
885	363628.0163
886	363248.802
887	362955.7149
888	362535.7445
889	362332.5548
890	362074.4283
891	361870.0636
892	361494.0396
893	361245.7851
894	361018.9285
895	360585.6404
896	360247.6469
897	359872.5011
898	359500.1245
899	359292.7769
900	359055.3922
901	358808.7227
902	358506.7687
903	358283.6252
904	358042.0829
905	357706.2897
906	357353.2928
907	357036.4781
908	356716.8334
909	356473.8852
910	356181.2969
911	356016.6297
912	355690.0258
913	355493.2427
914	355163.1147
915	354897.1296
916	354372.7489
917	354131.3141
918	353892.4818
919	353516.4828
920	353397.1479
921	353004.0822
922	352810.5288
923	352439.9114
924	352046.0832
925	351783.5276
926	351375.63
927	351184.0133
928	350925.434
929	350609.3434
930	350342.5456
931	350155.5176
932	349847.778
933	349654.8587
934	349325.0171
935	349030.762
936	348736.9719
937	348538.3829
938	348220.0711
939	347979.8245
940	347699.6597
941	347499.1294
942	347128.7527
943	346909.2732
944	346608.4804
945	346257.14
946	345973.7729
947	345648.6651
948	345415.1634
949	345180.0095
950	344826.7343
951	344602.1144
952	344290.3024
953	343918.0555
954	343753.5114
955	343552.1202
956	343208.0117
957	342986.4567
958	342632.7933
959	342462.2906
960	342280.6893
961	342151.0819
962	341903.02
963	341544.6334
964	341216.1521
965	341018.0354
966	340707.7595
967	340416.788
968	340126.1176
969	339894.8541
970	339466.0851
971	339226.1543
972	338958.7836
973	338574.63
974	338260.4754
975	337913.0489
976	337653.709
977	337382.1132
978	337182.9108
979	337015.6547
980	336817.746
981	336461.8338
982	336143.4959
983	335942.0993
984	335755.1389
985	335497.4094
986	335257.2638
987	334998.5977
988	334658.3636
989	334475.7687
990	334278.009
991	333999.6046
992	333779.0308
993	333459.8587
994	333112.6622
995	332874.8991
996	332503.3652
997	332273.2269
998	331944.3458
999	331735.6511
